recordid,customer_id,customer_name,email,region,meter_id,housing_type,reading_timestamp,energy_usage_kWh,baseline_kWh,spike_detected,spike_percentage,reason_detected,alert_sent,alert_time,resolved,reading_ts,alert_ts,spike_detected_b,alert_sent_b,resolved_b,excess_kwh,ratio,excess_pct,rule_spike,detectable,alert_latency_min,category,is_fault,excess_cost_gbp,hour,date,day_name
REC000042,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,01/01/2024 20:24:00,0.39,0.4,False,0.0,,False,,,2024-01-01 20:24:00,,False,False,,-0.010000000000000009,0.975,-2.500000000000002,False,True,,,False,0.0,20,2024-01-01,Monday
REC000043,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,01/01/2024 21:07:12,0.19,0.33,False,0.0,,False,,,2024-01-01 21:07:12,,False,False,,-0.14,0.5757575757575757,-42.42424242424243,False,True,,,False,0.0,21,2024-01-01,Monday
REC000044,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,01/01/2024 21:36:00,0.86,0.76,False,0.0,,False,,,2024-01-01 21:36:00,,False,False,,0.09999999999999998,1.131578947368421,13.157894736842103,False,True,,,False,0.028619999999999996,21,2024-01-01,Monday
REC000045,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,01/01/2024 22:04:48,1.07,1.12,False,0.0,,False,,,2024-01-01 22:04:48,,False,False,,-0.050000000000000044,0.9553571428571428,-4.464285714285721,False,False,,,False,0.0,22,2024-01-01,Monday
REC000046,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,01/01/2024 22:33:36,0.83,0.98,False,0.0,,False,,,2024-01-01 22:33:36,,False,False,,-0.15000000000000002,0.846938775510204,-15.306122448979597,False,True,,,False,0.0,22,2024-01-01,Monday
REC000047,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,01/01/2024 23:02:24,0.49,0.51,False,0.0,,False,,,2024-01-01 23:02:24,,False,False,,-0.020000000000000018,0.9607843137254901,-3.9215686274509887,False,True,,,False,0.0,23,2024-01-01,Monday
REC000048,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,01/01/2024 23:31:12,0.41,0.45,False,0.0,,False,,,2024-01-01 23:31:12,,False,False,,-0.040000000000000036,0.911111111111111,-8.888888888888902,False,True,,,False,0.0,23,2024-01-01,Monday
REC000049,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,02/01/2024 00:00:00,1.19,1.14,False,0.0,,False,,,2024-01-02 00:00:00,,False,False,,0.050000000000000044,1.0438596491228072,4.385964912280715,False,False,,,False,0.014310000000000014,0,2024-01-02,Tuesday
REC000050,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,02/01/2024 00:28:48,1.2,1.08,False,0.0,,False,,,2024-01-02 00:28:48,,False,False,,0.11999999999999988,1.111111111111111,11.111111111111093,False,False,,,False,0.034343999999999965,0,2024-01-02,Tuesday
REC000051,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,02/01/2024 00:57:36,1.16,1.02,False,0.0,,False,,,2024-01-02 00:57:36,,False,False,,0.1399999999999999,1.1372549019607843,13.725490196078427,False,True,,,False,0.04006799999999997,0,2024-01-02,Tuesday
REC000052,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,02/01/2024 01:26:24,1.13,1.11,False,0.0,,False,,,2024-01-02 01:26:24,,False,False,,0.019999999999999796,1.0180180180180178,1.8018018018017834,False,False,,,False,0.005723999999999942,1,2024-01-02,Tuesday
REC000053,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,02/01/2024 01:55:12,0.56,0.59,False,0.0,,False,,,2024-01-02 01:55:12,,False,False,,-0.029999999999999916,0.9491525423728815,-5.084745762711851,False,True,,,False,0.0,1,2024-01-02,Tuesday
REC000054,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,02/01/2024 02:24:00,0.64,0.68,False,0.0,,False,,,2024-01-02 02:24:00,,False,False,,-0.040000000000000036,0.9411764705882353,-5.882352941176472,False,True,,,False,0.0,2,2024-01-02,Tuesday
REC000055,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,02/01/2024 03:07:12,0.77,1.04,False,0.0,,False,,,2024-01-02 03:07:12,,False,False,,-0.27,0.7403846153846154,-25.96153846153846,False,False,,,False,0.0,3,2024-01-02,Tuesday
REC000056,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,02/01/2024 03:36:00,0.53,0.5,False,0.0,,False,,,2024-01-02 03:36:00,,False,False,,0.030000000000000027,1.06,6.000000000000005,False,True,,,False,0.008586000000000009,3,2024-01-02,Tuesday
REC000057,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,02/01/2024 04:04:48,0.46,0.41,False,0.0,,False,,,2024-01-02 04:04:48,,False,False,,0.050000000000000044,1.1219512195121952,12.195121951219523,False,True,,,False,0.014310000000000014,4,2024-01-02,Tuesday
REC000058,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,02/01/2024 04:33:36,0.57,0.59,False,0.0,,False,,,2024-01-02 04:33:36,,False,False,,-0.020000000000000018,0.9661016949152542,-3.3898305084745783,False,True,,,False,0.0,4,2024-01-02,Tuesday
REC000059,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,02/01/2024 05:02:24,0.68,0.77,False,0.0,,False,,,2024-01-02 05:02:24,,False,False,,-0.08999999999999997,0.8831168831168832,-11.688311688311682,False,True,,,False,0.0,5,2024-01-02,Tuesday
REC000060,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,02/01/2024 05:31:12,1.31,1.17,False,0.0,,False,,,2024-01-02 05:31:12,,False,False,,0.14000000000000012,1.1196581196581197,11.965811965811968,False,False,,,False,0.040068000000000034,5,2024-01-02,Tuesday
REC000061,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,02/01/2024 06:00:00,1.17,1.17,False,0.0,,False,,,2024-01-02 06:00:00,,False,False,,0.0,1.0,0.0,False,False,,,False,0.0,6,2024-01-02,Tuesday
REC000062,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,02/01/2024 06:28:48,0.4,0.57,False,0.0,,False,,,2024-01-02 06:28:48,,False,False,,-0.16999999999999993,0.7017543859649124,-29.824561403508763,False,True,,,False,0.0,6,2024-01-02,Tuesday
REC000063,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,02/01/2024 06:57:36,0.57,0.56,False,0.0,,False,,,2024-01-02 06:57:36,,False,False,,0.009999999999999898,1.0178571428571426,1.7857142857142572,False,True,,,False,0.002861999999999971,6,2024-01-02,Tuesday
REC000064,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,02/01/2024 07:26:24,0.71,0.75,False,0.0,,False,,,2024-01-02 07:26:24,,False,False,,-0.040000000000000036,0.9466666666666667,-5.333333333333334,False,True,,,False,0.0,7,2024-01-02,Tuesday
REC000065,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,02/01/2024 07:55:12,0.4,0.35,False,0.0,,False,,,2024-01-02 07:55:12,,False,False,,0.050000000000000044,1.142857142857143,14.285714285714302,False,True,,,False,0.014310000000000014,7,2024-01-02,Tuesday
REC000066,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,02/01/2024 08:24:00,0.49,0.52,False,0.0,,False,,,2024-01-02 08:24:00,,False,False,,-0.030000000000000027,0.9423076923076923,-5.769230769230771,False,True,,,False,0.0,8,2024-01-02,Tuesday
REC000067,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,02/01/2024 09:07:12,0.46,0.43,False,0.0,,False,,,2024-01-02 09:07:12,,False,False,,0.030000000000000027,1.0697674418604652,6.976744186046524,False,True,,,False,0.008586000000000009,9,2024-01-02,Tuesday
REC000068,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,02/01/2024 09:36:00,0.52,0.52,False,0.0,,False,,,2024-01-02 09:36:00,,False,False,,0.0,1.0,0.0,False,True,,,False,0.0,9,2024-01-02,Tuesday
REC000069,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,02/01/2024 10:04:48,0.82,0.9,False,0.0,,False,,,2024-01-02 10:04:48,,False,False,,-0.08000000000000007,0.911111111111111,-8.888888888888902,False,True,,,False,0.0,10,2024-01-02,Tuesday
REC000070,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,02/01/2024 10:33:36,1.04,0.96,False,0.0,,False,,,2024-01-02 10:33:36,,False,False,,0.08000000000000007,1.0833333333333335,8.333333333333348,False,True,,,False,0.02289600000000002,10,2024-01-02,Tuesday
REC000071,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,02/01/2024 11:02:24,0.77,0.63,False,0.0,,False,,,2024-01-02 11:02:24,,False,False,,0.14,1.2222222222222223,22.222222222222232,False,True,,,False,0.040068000000000006,11,2024-01-02,Tuesday
REC000072,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,02/01/2024 11:31:12,0.92,0.78,False,0.0,,False,,,2024-01-02 11:31:12,,False,False,,0.14,1.1794871794871795,17.948717948717952,False,True,,,False,0.040068000000000006,11,2024-01-02,Tuesday
REC000073,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,02/01/2024 12:00:00,0.33,0.38,False,0.0,,False,,,2024-01-02 12:00:00,,False,False,,-0.04999999999999999,0.868421052631579,-13.157894736842103,False,True,,,False,0.0,12,2024-01-02,Tuesday
REC000074,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,02/01/2024 12:28:48,0.56,0.47,False,0.0,,False,,,2024-01-02 12:28:48,,False,False,,0.09000000000000008,1.1914893617021278,19.14893617021278,False,True,,,False,0.025758000000000024,12,2024-01-02,Tuesday
REC000075,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,02/01/2024 12:57:36,0.51,0.34,True,50.0,Heater malfunction,True,1/2/2024 13:18,True,2024-01-02 12:57:36,2024-01-02 13:18:00,True,True,True,0.16999999999999998,1.5,50.0,True,True,20.4,Appliance,True,0.048653999999999996,12,2024-01-02,Tuesday
REC000076,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,02/01/2024 13:26:24,0.4,0.31,False,0.0,,False,,,2024-01-02 13:26:24,,False,False,,0.09000000000000002,1.2903225806451615,29.03225806451615,False,True,,,False,0.025758000000000007,13,2024-01-02,Tuesday
REC000077,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,02/01/2024 13:55:12,0.82,0.76,False,0.0,,False,,,2024-01-02 13:55:12,,False,False,,0.05999999999999994,1.0789473684210527,7.8947368421052655,False,True,,,False,0.017171999999999982,13,2024-01-02,Tuesday
REC000078,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,02/01/2024 14:24:00,0.34,0.46,False,0.0,,False,,,2024-01-02 14:24:00,,False,False,,-0.12,0.7391304347826088,-26.086956521739125,False,True,,,False,0.0,14,2024-01-02,Tuesday
REC000079,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,02/01/2024 15:07:12,0.98,0.92,False,0.0,,False,,,2024-01-02 15:07:12,,False,False,,0.05999999999999994,1.0652173913043477,6.521739130434767,False,True,,,False,0.017171999999999982,15,2024-01-02,Tuesday
REC000080,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,02/01/2024 15:36:00,0.4,0.42,False,0.0,,False,,,2024-01-02 15:36:00,,False,False,,-0.019999999999999962,0.9523809523809524,-4.761904761904756,False,True,,,False,0.0,15,2024-01-02,Tuesday
REC000081,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,02/01/2024 16:04:48,0.57,0.61,False,0.0,,False,,,2024-01-02 16:04:48,,False,False,,-0.040000000000000036,0.9344262295081966,-6.557377049180335,False,True,,,False,0.0,16,2024-01-02,Tuesday
REC000082,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,02/01/2024 16:33:36,0.95,0.89,False,0.0,,False,,,2024-01-02 16:33:36,,False,False,,0.05999999999999994,1.0674157303370786,6.741573033707859,False,True,,,False,0.017171999999999982,16,2024-01-02,Tuesday
REC000083,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,02/01/2024 17:02:24,1.18,1.04,False,0.0,,False,,,2024-01-02 17:02:24,,False,False,,0.1399999999999999,1.1346153846153846,13.461538461538458,False,False,,,False,0.04006799999999997,17,2024-01-02,Tuesday
REC000084,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,02/01/2024 17:31:12,0.77,0.52,True,48.08,Guest visit,True,1/2/2024 17:40,False,2024-01-02 17:31:12,2024-01-02 17:40:00,True,True,False,0.25,1.4807692307692308,48.07692307692308,True,True,8.8,Behavioural,False,0.07155,17,2024-01-02,Tuesday
REC000085,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,02/01/2024 18:00:00,0.24,0.38,False,0.0,,False,,,2024-01-02 18:00:00,,False,False,,-0.14,0.631578947368421,-36.8421052631579,False,True,,,False,0.0,18,2024-01-02,Tuesday
REC000086,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,02/01/2024 18:28:48,0.73,0.61,False,0.0,,False,,,2024-01-02 18:28:48,,False,False,,0.12,1.1967213114754098,19.672131147540984,False,True,,,False,0.034344,18,2024-01-02,Tuesday
REC000087,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,02/01/2024 18:57:36,1.01,0.95,False,0.0,,False,,,2024-01-02 18:57:36,,False,False,,0.06000000000000005,1.063157894736842,6.315789473684208,False,True,,,False,0.017172000000000017,18,2024-01-02,Tuesday
