recordid,customer_id,customer_name,region,housing_type,meter_id,reading_ts,energy_usage_kWh,baseline_kWh,excess_kwh,excess_pct,excess_cost_gbp,reason_detected,category,is_fault,alert_sent,alert_ts,alert_latency_min,resolved,matches_1_4x_rule,waste_rank,pct_rank
REC002115,CUST007,Mr Hugh Stephenson,London,Detached,MTR0007,2024-01-03 00:57:36,0.47,0.31,0.15999999999999998,51.61290322580645,0.04579199999999999,Guest visit,Behavioural,False,True,2024-01-03 01:05:00,7.4,False,True,96,44
REC001109,CUST004,Samuel Ward,London,Semi-Detached,MTR0004,2024-01-03 01:55:12,0.52,0.37,0.15000000000000002,40.54054054054055,0.04293000000000001,Schedule change,Behavioural,False,True,2024-01-03 02:14:00,18.8,False,True,99,109
REC001446,CUST005,George Price,Leeds,Detached,MTR0005,2024-01-03 02:24:00,0.51,0.3,0.21000000000000002,70.00000000000001,0.06010200000000001,Overnight appliance,Appliance,True,True,2024-01-03 02:34:00,10.0,False,True,47,7
REC004136,CUST013,Ms Jacqueline Baker,Manchester,Flat,MTR0013,2024-01-03 03:36:00,0.45,0.31,0.14,45.16129032258065,0.040068000000000006,Heater malfunction,Appliance,True,True,2024-01-03 03:44:00,8.0,False,True,106,79
REC001448,CUST005,George Price,Leeds,Detached,MTR0005,2024-01-03 03:36:00,0.51,0.36,0.15000000000000002,41.66666666666667,0.04293000000000001,Schedule change,Behavioural,False,True,2024-01-03 03:47:00,11.0,True,True,99,99
REC002456,CUST008,Miss Tracy Lamb,London,Detached,MTR0008,2024-01-03 03:36:00,0.53,0.35,0.18000000000000005,51.428571428571445,0.05151600000000001,Heater malfunction,Appliance,True,True,2024-01-03 03:37:00,1.0,True,True,68,46
REC004479,CUST014,Miss Charlotte Robertson,Leeds,Flat,MTR0014,2024-01-03 06:57:36,0.66,0.47,0.19000000000000006,40.42553191489364,0.05437800000000002,Overnight appliance,Appliance,True,True,2024-01-03 07:27:00,29.4,True,True,59,110
REC000112,CUST001,Shirley Thomas-Cox,London,Detached,MTR0001,2024-01-03 07:26:24,0.57,0.39,0.17999999999999994,46.153846153846146,0.051515999999999985,Schedule change,Behavioural,False,True,2024-01-03 07:53:00,26.6,True,True,75,70
REC003473,CUST011,Alan Thompson,Leeds,Detached,MTR0011,2024-01-03 07:55:12,0.57,0.35,0.21999999999999997,62.857142857142854,0.06296399999999999,Schedule change,Behavioural,False,True,2024-01-03 08:07:00,11.8,True,True,37,14
REC004821,CUST015,Frederick Daniels,London,Detached,MTR0015,2024-01-03 10:04:48,0.61,0.43,0.18,41.86046511627908,0.051516,Overnight appliance,Appliance,True,True,2024-01-03 10:01:00,-3.8,True,True,72,98
REC006168,CUST019,Abigail Jordan,London,Detached,MTR0019,2024-01-03 11:31:12,0.58,0.41,0.16999999999999998,41.46341463414633,0.048653999999999996,Guest visit,Behavioural,False,True,2024-01-03 11:48:00,16.8,True,True,87,102
REC005842,CUST018,Ms Marie Morrison,Manchester,Flat,MTR0018,2024-01-03 16:33:36,0.62,0.39,0.22999999999999998,58.974358974358964,0.065826,Heater malfunction,Appliance,True,True,2024-01-03 16:49:00,15.4,True,True,31,22
REC003491,CUST011,Alan Thompson,Leeds,Detached,MTR0011,2024-01-03 17:02:24,0.58,0.4,0.17999999999999994,44.99999999999997,0.051515999999999985,Schedule change,Behavioural,False,True,2024-01-03 17:13:00,10.6,True,True,75,82
REC000131,CUST001,Shirley Thomas-Cox,London,Detached,MTR0001,2024-01-03 17:02:24,0.59,0.35,0.24,68.57142857142857,0.068688,Overnight appliance,Appliance,True,True,2024-01-03 17:03:00,0.6,False,True,25,9
REC000473,CUST002,Mr Guy Parsons,Bristol,Detached,MTR0002,2024-01-03 19:55:12,0.74,0.5,0.24,48.0,0.068688,Overnight appliance,Appliance,True,True,2024-01-03 20:08:00,12.8,True,True,25,61
REC002160,CUST007,Mr Hugh Stephenson,London,Detached,MTR0007,2024-01-03 23:31:12,0.72,0.48,0.24,50.0,0.068688,Guest visit,Behavioural,False,True,2024-01-03 23:46:00,14.8,False,True,25,49
REC000146,CUST001,Shirley Thomas-Cox,London,Detached,MTR0001,2024-01-04 00:28:48,0.58,0.39,0.18999999999999995,48.7179487179487,0.05437799999999999,Heater malfunction,Appliance,True,True,2024-01-04 00:45:00,16.2,True,True,65,54
REC001828,CUST006,Hilary Reynolds,Leeds,Flat,MTR0006,2024-01-04 01:26:24,0.66,0.38,0.28,73.6842105263158,0.08013600000000001,Overnight appliance,Appliance,True,True,2024-01-04 01:58:00,31.6,True,True,8,5
REC000822,CUST003,Joel Jackson,Manchester,Detached,MTR0003,2024-01-04 02:24:00,0.45,0.3,0.15000000000000002,50.0,0.04293000000000001,Schedule change,Behavioural,False,True,2024-01-04 02:46:00,22.0,True,True,99,49
REC006534,CUST020,Joseph Nelson-White,Glasgow,Detached,MTR0020,2024-01-04 02:24:00,0.85,0.54,0.30999999999999994,57.4074074074074,0.08872199999999998,Schedule change,Behavioural,False,True,2024-01-04 02:45:00,21.0,True,True,2,27
REC006537,CUST020,Joseph Nelson-White,Glasgow,Detached,MTR0020,2024-01-04 04:04:48,0.7,0.41,0.29,70.73170731707317,0.082998,Guest visit,Behavioural,False,True,2024-01-04 04:26:00,21.2,False,True,5,6
REC001849,CUST006,Hilary Reynolds,Leeds,Flat,MTR0006,2024-01-04 12:00:00,0.66,0.4,0.26,64.99999999999999,0.074412,Overnight appliance,Appliance,True,True,2024-01-04 12:25:00,25.0,False,True,12,12
REC006220,CUST019,Abigail Jordan,London,Detached,MTR0019,2024-01-04 13:26:24,0.55,0.36,0.19000000000000006,52.77777777777779,0.05437800000000002,Guest visit,Behavioural,False,True,2024-01-04 13:43:00,16.6,True,True,59,41
REC001852,CUST006,Hilary Reynolds,Leeds,Flat,MTR0006,2024-01-04 13:26:24,0.74,0.51,0.22999999999999998,45.09803921568627,0.065826,Overnight appliance,Appliance,True,True,2024-01-04 13:43:00,16.6,False,True,31,81
REC006557,CUST020,Joseph Nelson-White,Glasgow,Detached,MTR0020,2024-01-04 13:55:12,0.51,0.34,0.16999999999999998,50.0,0.048653999999999996,Heater malfunction,Appliance,True,True,2024-01-04 14:22:00,26.8,True,True,87,49
REC006558,CUST020,Joseph Nelson-White,Glasgow,Detached,MTR0020,2024-01-04 14:24:00,0.7,0.48,0.21999999999999997,45.83333333333333,0.06296399999999999,Schedule change,Behavioural,False,True,2024-01-04 14:55:00,31.0,True,True,37,78
REC001522,CUST005,George Price,Leeds,Detached,MTR0005,2024-01-04 16:33:36,0.97,0.66,0.30999999999999994,46.96969696969695,0.08872199999999998,Overnight appliance,Appliance,True,True,2024-01-04 16:36:00,2.4,True,True,2,68
REC004211,CUST013,Ms Jacqueline Baker,Manchester,Flat,MTR0013,2024-01-04 17:02:24,0.59,0.4,0.18999999999999995,47.499999999999986,0.05437799999999999,Heater malfunction,Appliance,True,True,2024-01-04 17:25:00,22.6,True,True,65,63
REC004885,CUST015,Frederick Daniels,London,Detached,MTR0015,2024-01-04 18:00:00,0.52,0.33,0.19,57.57575757575757,0.054378,Schedule change,Behavioural,False,True,2024-01-04 18:14:00,14.0,False,True,62,26
REC003210,CUST010,Laura Richardson,Leeds,Detached,MTR0010,2024-01-04 20:24:00,0.54,0.35,0.19000000000000006,54.28571428571431,0.05437800000000002,Guest visit,Behavioural,False,True,2024-01-04 20:40:00,16.0,True,True,59,38
REC006234,CUST019,Abigail Jordan,London,Detached,MTR0019,2024-01-04 20:24:00,0.6,0.31,0.29,93.54838709677418,0.082998,Overnight appliance,Appliance,True,True,2024-01-04 20:40:00,16.0,True,True,5,2
REC003546,CUST011,Alan Thompson,Leeds,Detached,MTR0011,2024-01-04 20:24:00,0.57,0.39,0.17999999999999994,46.153846153846146,0.051515999999999985,Schedule change,Behavioural,False,True,2024-01-04 21:00:00,36.0,False,True,75,70
REC005229,CUST016,Miss Sian Hughes,Glasgow,Flat,MTR0016,2024-01-04 22:04:48,0.53,0.36,0.17000000000000004,47.22222222222223,0.04865400000000001,Overnight appliance,Appliance,True,True,2024-01-04 22:15:00,10.2,True,True,80,64
REC002541,CUST008,Miss Tracy Lamb,London,Detached,MTR0008,2024-01-04 22:04:48,0.47,0.33,0.13999999999999996,42.42424242424241,0.04006799999999999,Overnight appliance,Appliance,True,True,2024-01-04 22:09:00,4.2,True,True,112,94
REC004896,CUST015,Frederick Daniels,London,Detached,MTR0015,2024-01-04 23:31:12,0.64,0.45,0.19,42.22222222222223,0.054378,Overnight appliance,Appliance,True,True,2024-01-04 23:56:00,24.8,False,True,62,96
REC002885,CUST009,Harry Bell,Manchester,Semi-Detached,MTR0009,2024-01-05 01:55:12,0.86,0.6,0.26,43.333333333333336,0.074412,Heater malfunction,Appliance,True,True,2024-01-05 02:01:00,5.8,False,True,12,91
REC001879,CUST006,Hilary Reynolds,Leeds,Flat,MTR0006,2024-01-05 03:07:12,0.68,0.44,0.24000000000000005,54.54545454545456,0.06868800000000001,Schedule change,Behavioural,False,True,2024-01-05 03:17:00,9.8,True,True,23,36
REC002888,CUST009,Harry Bell,Manchester,Semi-Detached,MTR0009,2024-01-05 03:36:00,0.49,0.35,0.14,40.000000000000014,0.040068000000000006,Schedule change,Behavioural,False,True,2024-01-05 03:56:00,20.0,True,True,106,111
REC003563,CUST011,Alan Thompson,Leeds,Detached,MTR0011,2024-01-05 05:02:24,0.56,0.35,0.21000000000000008,60.00000000000003,0.06010200000000002,Heater malfunction,Appliance,True,True,2024-01-05 05:20:00,17.6,False,True,46,20
REC000882,CUST003,Joel Jackson,Manchester,Detached,MTR0003,2024-01-05 08:24:00,0.67,0.4,0.27,67.5,0.07727400000000001,Guest visit,Behavioural,False,True,2024-01-05 08:35:00,11.0,True,True,10,10
REC000549,CUST002,Mr Guy Parsons,Bristol,Detached,MTR0002,2024-01-05 10:04:48,0.76,0.52,0.24,46.153846153846146,0.068688,Guest visit,Behavioural,False,True,2024-01-05 10:30:00,25.2,True,True,25,70
REC001222,CUST004,Samuel Ward,London,Semi-Detached,MTR0004,2024-01-05 10:33:36,0.47,0.31,0.15999999999999998,51.61290322580645,0.04579199999999999,Guest visit,Behavioural,False,True,2024-01-05 10:35:00,1.4,True,True,96,44
REC002232,CUST007,Mr Hugh Stephenson,London,Detached,MTR0007,2024-01-05 11:31:12,0.55,0.38,0.17000000000000004,44.736842105263165,0.04865400000000001,Overnight appliance,Appliance,True,True,2024-01-05 11:52:00,20.8,True,True,80,83
REC004585,CUST014,Miss Charlotte Robertson,Leeds,Flat,MTR0014,2024-01-05 12:00:00,0.69,0.47,0.21999999999999997,46.808510638297875,0.06296399999999999,Overnight appliance,Appliance,True,True,2024-01-05 12:02:00,2.0,True,True,37,69
REC006603,CUST020,Joseph Nelson-White,Glasgow,Detached,MTR0020,2024-01-05 12:57:36,0.53,0.37,0.16000000000000003,43.24324324324324,0.04579200000000001,Schedule change,Behavioural,False,True,2024-01-05 13:07:00,9.4,True,True,93,92
REC000559,CUST002,Mr Guy Parsons,Bristol,Detached,MTR0002,2024-01-05 15:07:12,0.51,0.33,0.18,54.54545454545454,0.051516,Overnight appliance,Appliance,True,True,2024-01-05 15:27:00,19.8,False,True,72,37
REC001906,CUST006,Hilary Reynolds,Leeds,Flat,MTR0006,2024-01-05 16:33:36,0.5,0.35,0.15000000000000002,42.85714285714286,0.04293000000000001,Overnight appliance,Appliance,True,True,2024-01-05 16:41:00,7.4,True,True,99,93
REC002579,CUST008,Miss Tracy Lamb,London,Detached,MTR0008,2024-01-05 17:02:24,0.48,0.31,0.16999999999999998,54.83870967741935,0.048653999999999996,Heater malfunction,Appliance,True,True,2024-01-05 17:28:00,25.6,False,True,87,34
REC003927,CUST012,Sally Williams-Wilson,Leeds,Flat,MTR0012,2024-01-05 18:57:36,0.6,0.38,0.21999999999999997,57.89473684210527,0.06296399999999999,Overnight appliance,Appliance,True,True,2024-01-05 19:06:00,8.4,True,True,37,24
REC006617,CUST020,Joseph Nelson-White,Glasgow,Detached,MTR0020,2024-01-05 19:55:12,0.53,0.36,0.17000000000000004,47.22222222222223,0.04865400000000001,Heater malfunction,Appliance,True,True,2024-01-05 20:16:00,20.8,True,True,80,64
REC003930,CUST012,Sally Williams-Wilson,Leeds,Flat,MTR0012,2024-01-05 20:24:00,0.59,0.33,0.25999999999999995,78.78787878787877,0.07441199999999999,Schedule change,Behavioural,False,True,2024-01-05 20:56:00,32.0,True,True,14,3
REC004602,CUST014,Miss Charlotte Robertson,Leeds,Flat,MTR0014,2024-01-05 20:24:00,1.11,0.77,0.3400000000000001,44.15584415584417,0.09730800000000002,Heater malfunction,Appliance,True,True,2024-01-05 20:37:00,13.0,True,True,1,85
REC003259,CUST010,Laura Richardson,Leeds,Detached,MTR0010,2024-01-05 21:07:12,0.58,0.39,0.18999999999999995,48.7179487179487,0.05437799999999999,Heater malfunction,Appliance,True,True,2024-01-05 21:18:00,10.8,True,True,65,54
REC002925,CUST009,Harry Bell,Manchester,Semi-Detached,MTR0009,2024-01-05 22:04:48,0.54,0.38,0.16000000000000003,42.10526315789473,0.04579200000000001,Guest visit,Behavioural,False,True,2024-01-05 22:24:00,19.2,False,True,93,97
REC006623,CUST020,Joseph Nelson-White,Glasgow,Detached,MTR0020,2024-01-05 23:02:24,0.49,0.35,0.14,40.000000000000014,0.040068000000000006,Heater malfunction,Appliance,True,True,2024-01-05 23:29:00,26.6,True,True,106,111
REC006624,CUST020,Joseph Nelson-White,Glasgow,Detached,MTR0020,2024-01-05 23:31:12,0.53,0.33,0.2,60.606060606060595,0.057240000000000006,Overnight appliance,Appliance,True,True,2024-01-05 23:43:00,11.8,True,True,53,17
REC005955,CUST018,Ms Marie Morrison,Manchester,Flat,MTR0018,2024-01-06 00:57:36,0.68,0.43,0.25000000000000006,58.13953488372094,0.07155000000000002,Heater malfunction,Appliance,True,True,2024-01-06 01:01:00,3.4,True,True,17,23
REC001931,CUST006,Hilary Reynolds,Leeds,Flat,MTR0006,2024-01-06 05:02:24,0.6,0.39,0.20999999999999996,53.84615384615383,0.06010199999999999,Overnight appliance,Appliance,True,True,2024-01-06 05:01:00,-1.4,True,True,49,39
REC003621,CUST011,Alan Thompson,Leeds,Detached,MTR0011,2024-01-06 10:04:48,0.57,0.39,0.17999999999999994,46.153846153846146,0.051515999999999985,Heater malfunction,Appliance,True,True,2024-01-06 10:07:00,2.2,True,True,75,70
REC001273,CUST004,Samuel Ward,London,Semi-Detached,MTR0004,2024-01-06 12:00:00,0.55,0.37,0.18000000000000005,48.64864864864866,0.05151600000000001,Heater malfunction,Appliance,True,True,2024-01-06 12:28:00,28.0,True,True,68,56
REC005650,CUST017,Molly Fisher,Bristol,Detached,MTR0017,2024-01-06 16:33:36,0.73,0.5,0.22999999999999998,46.0,0.065826,Schedule change,Behavioural,False,True,2024-01-06 16:33:00,-0.6,False,True,31,76
REC001621,CUST005,George Price,Leeds,Detached,MTR0005,2024-01-06 18:00:00,0.51,0.36,0.15000000000000002,41.66666666666667,0.04293000000000001,Heater malfunction,Appliance,True,True,2024-01-06 18:16:00,16.0,True,True,99,99
REC005989,CUST018,Ms Marie Morrison,Manchester,Flat,MTR0018,2024-01-06 18:00:00,0.51,0.3,0.21000000000000002,70.00000000000001,0.06010200000000001,Overnight appliance,Appliance,True,True,2024-01-06 18:03:00,3.0,False,True,47,7
REC001292,CUST004,Samuel Ward,London,Semi-Detached,MTR0004,2024-01-06 21:36:00,0.46,0.32,0.14,43.75,0.040068000000000006,Overnight appliance,Appliance,True,True,2024-01-06 21:44:00,8.0,True,True,106,90
REC004654,CUST014,Miss Charlotte Robertson,Leeds,Flat,MTR0014,2024-01-06 22:33:36,0.84,0.59,0.25,42.3728813559322,0.07155,Heater malfunction,Appliance,True,True,2024-01-06 22:48:00,14.4,False,True,19,95
REC001297,CUST004,Samuel Ward,London,Semi-Detached,MTR0004,2024-01-07 00:00:00,0.53,0.35,0.18000000000000005,51.428571428571445,0.05151600000000001,Guest visit,Behavioural,False,True,2024-01-07 00:15:00,15.0,True,True,68,46
REC001969,CUST006,Hilary Reynolds,Leeds,Flat,MTR0006,2024-01-07 00:00:00,0.71,0.45,0.25999999999999995,57.77777777777777,0.07441199999999999,Heater malfunction,Appliance,True,True,2024-01-07 00:29:00,29.0,True,True,14,25
REC006006,CUST018,Ms Marie Morrison,Manchester,Flat,MTR0018,2024-01-07 02:24:00,0.49,0.34,0.14999999999999997,44.11764705882351,0.04292999999999999,Schedule change,Behavioural,False,True,2024-01-07 02:52:00,28.0,False,True,104,86
REC002647,CUST008,Miss Tracy Lamb,London,Detached,MTR0008,2024-01-07 03:07:12,0.62,0.42,0.2,47.61904761904763,0.057240000000000006,Heater malfunction,Appliance,True,True,2024-01-07 03:18:00,10.8,False,True,53,62
REC003319,CUST010,Laura Richardson,Leeds,Detached,MTR0010,2024-01-07 03:07:12,0.92,0.63,0.29000000000000004,46.031746031746046,0.08299800000000002,Schedule change,Behavioural,False,True,2024-01-07 03:19:00,11.8,True,True,4,75
REC002648,CUST008,Miss Tracy Lamb,London,Detached,MTR0008,2024-01-07 03:36:00,0.58,0.38,0.19999999999999996,52.63157894736841,0.05723999999999999,Heater malfunction,Appliance,True,True,2024-01-07 03:58:00,22.0,True,True,57,42
REC001976,CUST006,Hilary Reynolds,Leeds,Flat,MTR0006,2024-01-07 03:36:00,0.66,0.42,0.24000000000000005,57.14285714285716,0.06868800000000001,Schedule change,Behavioural,False,True,2024-01-07 03:38:00,2.0,True,True,23,28
REC005342,CUST016,Miss Sian Hughes,Glasgow,Flat,MTR0016,2024-01-07 06:28:48,0.72,0.51,0.20999999999999996,41.17647058823528,0.06010199999999999,Overnight appliance,Appliance,True,True,2024-01-07 06:52:00,23.2,True,True,49,104
REC004002,CUST012,Sally Williams-Wilson,Leeds,Flat,MTR0012,2024-01-07 08:24:00,0.56,0.36,0.20000000000000007,55.55555555555558,0.05724000000000002,Heater malfunction,Appliance,True,True,2024-01-07 08:48:00,24.0,True,True,52,30
REC004675,CUST014,Miss Charlotte Robertson,Leeds,Flat,MTR0014,2024-01-07 09:07:12,0.76,0.49,0.27,55.10204081632652,0.07727400000000001,Guest visit,Behavioural,False,False,,,,True,10,32
REC005684,CUST017,Molly Fisher,Bristol,Detached,MTR0017,2024-01-07 09:36:00,0.52,0.35,0.17000000000000004,48.57142857142858,0.04865400000000001,Schedule change,Behavioural,False,True,2024-01-07 09:47:00,11.0,True,True,80,57
REC004013,CUST012,Sally Williams-Wilson,Leeds,Flat,MTR0012,2024-01-07 13:55:12,0.83,0.59,0.24,40.67796610169492,0.068688,Heater malfunction,Appliance,True,True,2024-01-07 14:05:00,9.8,True,True,25,107
REC004351,CUST013,Ms Jacqueline Baker,Manchester,Flat,MTR0013,2024-01-07 15:07:12,0.49,0.35,0.14,40.000000000000014,0.040068000000000006,Schedule change,Behavioural,False,True,2024-01-07 15:15:00,7.8,True,True,106,111
REC001668,CUST005,George Price,Leeds,Detached,MTR0005,2024-01-07 17:31:12,0.6,0.39,0.20999999999999996,53.84615384615383,0.06010199999999999,Schedule change,Behavioural,False,True,2024-01-07 17:57:00,25.8,False,True,49,39
REC003350,CUST010,Laura Richardson,Leeds,Detached,MTR0010,2024-01-07 18:28:48,0.54,0.37,0.17000000000000004,45.945945945945965,0.04865400000000001,Overnight appliance,Appliance,True,True,2024-01-07 18:47:00,18.2,True,True,80,77
REC001340,CUST004,Samuel Ward,London,Semi-Detached,MTR0004,2024-01-07 21:36:00,0.48,0.31,0.16999999999999998,54.83870967741935,0.048653999999999996,Heater malfunction,Appliance,True,True,2024-01-07 21:34:00,-2.0,True,True,87,34
REC006717,CUST020,Joseph Nelson-White,Glasgow,Detached,MTR0020,2024-01-07 22:04:48,0.72,0.5,0.21999999999999997,43.99999999999999,0.06296399999999999,Overnight appliance,Appliance,True,True,2024-01-07 22:23:00,18.2,True,True,37,88
