recordid,customer_id,customer_name,email,region,meter_id,housing_type,reading_timestamp,energy_usage_kWh,baseline_kWh,spike_detected,spike_percentage,reason_detected,alert_sent,alert_time,resolved
REC000066,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,02/01/2024 08:24:00,0.49,0.52,FALSE,0,,FALSE,,
REC000067,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,02/01/2024 09:07:12,0.46,0.43,FALSE,0,,FALSE,,
REC000068,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,02/01/2024 09:36:00,0.52,0.52,FALSE,0,,FALSE,,
REC000069,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,02/01/2024 10:04:48,0.82,0.9,FALSE,0,,FALSE,,
REC000070,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,02/01/2024 10:33:36,1.04,0.96,FALSE,0,,FALSE,,
REC000071,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,02/01/2024 11:02:24,0.77,0.63,FALSE,0,,FALSE,,
REC000072,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,02/01/2024 11:31:12,0.92,0.78,FALSE,0,,FALSE,,
REC000073,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,02/01/2024 12:00:00,0.33,0.38,FALSE,0,,FALSE,,
REC000074,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,02/01/2024 12:28:48,0.56,0.47,FALSE,0,,FALSE,,
REC000075,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,02/01/2024 12:57:36,0.51,0.34,TRUE,50,Heater malfunction,TRUE,1/2/2024 13:18,TRUE
REC000076,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,02/01/2024 13:26:24,0.4,0.31,FALSE,0,,FALSE,,
REC000077,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,02/01/2024 13:55:12,0.82,0.76,FALSE,0,,FALSE,,
REC000078,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,02/01/2024 14:24:00,0.34,0.46,FALSE,0,,FALSE,,
REC000079,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,02/01/2024 15:07:12,0.98,0.92,FALSE,0,,FALSE,,
REC000080,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,02/01/2024 15:36:00,0.4,0.42,FALSE,0,,FALSE,,
REC000081,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,02/01/2024 16:04:48,0.57,0.61,FALSE,0,,FALSE,,
REC000082,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,02/01/2024 16:33:36,0.95,0.89,FALSE,0,,FALSE,,
REC000083,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,02/01/2024 17:02:24,1.18,1.04,FALSE,0,,FALSE,,
REC000084,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,02/01/2024 17:31:12,0.77,0.52,TRUE,48.08,Guest visit,TRUE,1/2/2024 17:40,FALSE
REC000085,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,02/01/2024 18:00:00,0.24,0.38,FALSE,0,,FALSE,,
REC000086,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,02/01/2024 18:28:48,0.73,0.61,FALSE,0,,FALSE,,
REC000087,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,02/01/2024 18:57:36,1.01,0.95,FALSE,0,,FALSE,,
REC000088,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,02/01/2024 19:26:24,0.5,0.38,FALSE,0,,FALSE,,
REC000089,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,02/01/2024 19:55:12,0.47,0.45,FALSE,0,,FALSE,,
REC000090,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,02/01/2024 20:24:00,0.39,0.31,FALSE,0,,FALSE,,
REC000091,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,02/01/2024 21:07:12,0.41,0.39,FALSE,0,,FALSE,,
REC000092,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,02/01/2024 21:36:00,0.8,0.92,FALSE,0,,FALSE,,
REC000093,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,02/01/2024 22:04:48,0.96,0.89,FALSE,0,,FALSE,,
REC000094,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,02/01/2024 22:33:36,0.41,0.51,FALSE,0,,FALSE,,
REC000095,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,02/01/2024 23:02:24,0.67,0.59,FALSE,0,,FALSE,,
REC000096,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,02/01/2024 23:31:12,1.19,1.06,FALSE,0,,FALSE,,
REC000097,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,03/01/2024 00:00:00,0.8,0.89,FALSE,0,,FALSE,,
REC000098,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,03/01/2024 00:28:48,0.64,0.63,FALSE,0,,FALSE,,
REC000099,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,03/01/2024 00:57:36,0.63,0.54,FALSE,0,,FALSE,,
REC000100,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,03/01/2024 01:26:24,0.85,0.87,FALSE,0,,FALSE,,
REC000101,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,03/01/2024 01:55:12,1.29,1.02,FALSE,0,,FALSE,,
REC000102,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,03/01/2024 02:24:00,0.75,0.74,FALSE,0,,FALSE,,
REC000103,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,03/01/2024 03:07:12,0.38,0.48,FALSE,0,,FALSE,,
REC000104,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,03/01/2024 03:36:00,0.42,0.32,FALSE,0,,FALSE,,
REC000105,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,03/01/2024 04:04:48,0.87,0.88,FALSE,0,,FALSE,,
REC000106,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,03/01/2024 04:33:36,1.24,1.17,FALSE,0,,FALSE,,
REC000107,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,03/01/2024 05:02:24,1.12,1.17,FALSE,0,,FALSE,,
REC000108,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,03/01/2024 05:31:12,0.73,0.65,FALSE,0,,FALSE,,
REC000109,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,03/01/2024 06:00:00,0.98,1.07,FALSE,0,,FALSE,,
REC000110,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,03/01/2024 06:28:48,0.75,0.8,FALSE,0,,FALSE,,
REC000111,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,03/01/2024 06:57:36,1.2,1.14,FALSE,0,,FALSE,,
REC000112,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,03/01/2024 07:26:24,0.57,0.39,TRUE,46.15,Schedule change,TRUE,1/3/2024 07:53,TRUE
REC000113,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,03/01/2024 07:55:12,0.96,0.85,FALSE,0,,FALSE,,
REC000114,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,03/01/2024 08:24:00,0.98,0.97,FALSE,0,,FALSE,,
REC000115,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,03/01/2024 09:07:12,0.83,0.93,FALSE,0,,FALSE,,
REC000116,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,03/01/2024 09:36:00,0.7,0.56,FALSE,0,,FALSE,,
REC000117,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,03/01/2024 10:04:48,1.06,1.03,FALSE,0,,FALSE,,
REC000118,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,03/01/2024 10:33:36,1.15,1.12,FALSE,0,,FALSE,,
REC000119,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,03/01/2024 11:02:24,0.9,0.76,FALSE,0,,FALSE,,
REC000120,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,03/01/2024 11:31:12,0.88,0.88,FALSE,0,,FALSE,,
REC000121,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,03/01/2024 12:00:00,0.95,0.93,FALSE,0,,FALSE,,
REC000122,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,03/01/2024 12:28:48,0.62,0.6,FALSE,0,,FALSE,,
REC000123,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,03/01/2024 12:57:36,0.66,0.64,FALSE,0,,FALSE,,
REC000124,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,03/01/2024 13:26:24,0.24,0.33,FALSE,0,,FALSE,,
REC000125,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,03/01/2024 13:55:12,0.54,0.72,FALSE,0,,FALSE,,
REC000126,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,03/01/2024 14:24:00,0.87,0.83,FALSE,0,,FALSE,,
REC000127,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,03/01/2024 15:07:12,0.24,0.33,FALSE,0,,FALSE,,
REC000128,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,03/01/2024 15:36:00,0.74,0.77,FALSE,0,,FALSE,,
REC000129,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,03/01/2024 16:04:48,1.04,0.99,FALSE,0,,FALSE,,
REC000130,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,03/01/2024 16:33:36,0.25,0.38,FALSE,0,,FALSE,,
REC000131,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,03/01/2024 17:02:24,0.59,0.35,TRUE,68.57,Overnight appliance,TRUE,1/3/2024 17:03,FALSE
REC000132,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,03/01/2024 17:31:12,1.05,0.87,FALSE,0,,FALSE,,
REC000133,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,03/01/2024 18:00:00,0.95,0.95,FALSE,0,,FALSE,,
REC000134,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,03/01/2024 18:28:48,0.63,0.59,FALSE,0,,FALSE,,
REC000135,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,03/01/2024 18:57:36,0.98,1.02,FALSE,0,,FALSE,,
REC000136,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,03/01/2024 19:26:24,0.2,0.37,FALSE,0,,FALSE,,
REC000137,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,03/01/2024 19:55:12,0.24,0.32,FALSE,0,,FALSE,,
REC000138,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,03/01/2024 20:24:00,0.63,0.46,FALSE,0,,FALSE,,
REC000139,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,03/01/2024 21:07:12,0.47,0.44,FALSE,0,,FALSE,,
REC000140,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,03/01/2024 21:36:00,0.78,0.94,FALSE,0,,FALSE,,
REC000141,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,03/01/2024 22:04:48,0.93,0.89,FALSE,0,,FALSE,,
REC000142,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,03/01/2024 22:33:36,1.02,0.85,FALSE,0,,FALSE,,
REC000143,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,03/01/2024 23:02:24,0.61,0.68,FALSE,0,,FALSE,,
REC000144,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,03/01/2024 23:31:12,0.85,0.98,FALSE,0,,FALSE,,
REC000145,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,04/01/2024 00:00:00,0.29,0.31,FALSE,0,,FALSE,,
REC000146,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,04/01/2024 00:28:48,0.58,0.39,TRUE,48.72,Heater malfunction,TRUE,1/4/2024 00:45,TRUE
REC000147,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,04/01/2024 00:57:36,0.61,0.74,FALSE,0,,FALSE,,
REC000148,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,04/01/2024 01:26:24,0.68,0.69,FALSE,0,,FALSE,,
REC000149,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,04/01/2024 01:55:12,0.81,0.66,FALSE,0,,FALSE,,
REC000150,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,04/01/2024 02:24:00,0.47,0.34,FALSE,0,,FALSE,,
REC000151,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,04/01/2024 03:07:12,0.65,0.64,FALSE,0,,FALSE,,
REC000152,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,04/01/2024 03:36:00,1.3,1.07,FALSE,0,,FALSE,,
REC000153,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,04/01/2024 04:04:48,0.87,0.89,FALSE,0,,FALSE,,
REC000154,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,04/01/2024 04:33:36,0.84,0.83,FALSE,0,,FALSE,,
REC000155,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,04/01/2024 05:02:24,0.96,1.15,FALSE,0,,FALSE,,
REC000156,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,04/01/2024 05:31:12,1.01,0.88,FALSE,0,,FALSE,,
REC000157,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,04/01/2024 06:00:00,0.78,0.71,FALSE,0,,FALSE,,
